aspect,kappa,res_size,noise_model,seed,effective_kappa,method,final_be,pass_fail,iters_to_stable
10,1000000.0,1e-06,a_and_b,30003,610.1743455734585,qr_ref,2.156250010969295e-16,1,0
10,1000000.0,1e-06,a_and_b,40004,602.111505407568,iter_sketch_mom,4.001148847370702e-15,0,
10,1000000.0,1e-06,a_and_b,40004,602.111505407568,sketch_pre_cold,1.186725729832761e-10,0,
10,1000000.0,1e-06,a_and_b,40004,602.111505407568,sketch_pre_warm,7.90741416281687e-12,0,
10,1000000.0,1e-06,a_and_b,40004,602.111505407568,spir,1.3842043321670556e-17,1,20
10,1000000.0,1e-06,a_and_b,40004,602.111505407568,qr_ref,2.89402759059601e-16,1,0
10,1000000.0,1e-10,b_only,32439,1000000.0,iter_sketch_mom,2.608819461674176e-15,0,
10,1000000.0,1e-10,b_only,32439,1000000.0,sketch_pre_cold,6.141101453086573e-10,0,
10,1000000.0,1e-10,b_only,32439,1000000.0,sketch_pre_warm,3.011868922793128e-17,1,0
10,1000000.0,1e-10,b_only,32439,1000000.0,spir,1.1189739671320147e-17,1,0
10,1000000.0,1e-10,b_only,32439,1000000.0,qr_ref,1.5769974791913518e-16,1,0
10,1000000.0,1e-10,b_only,10001,1000000.0,iter_sketch_mom,3.469835277446987e-15,0,
10,1000000.0,1e-10,b_only,10001,1000000.0,sketch_pre_cold,3.572366386910687e-10,0,
10,1000000.0,1e-10,b_only,10001,1000000.0,sketch_pre_warm,2.78031863537724e-17,1,0
10,1000000.0,1e-10,b_only,10001,1000000.0,spir,1.4594252479244523e-17,1,1
10,1000000.0,1e-10,b_only,10001,1000000.0,qr_ref,1.1384394007689165e-16,1,0
10,1000000.0,1e-10,b_only,20002,1000000.0,iter_sketch_mom,2.707429039507898e-15,0,
10,1000000.0,1e-10,b_only,20002,1000000.0,sketch_pre_cold,1.2622796852145122e-09,0,
10,1000000.0,1e-10,b_only,20002,1000000.0,sketch_pre_warm,2.6474398462517708e-17,1,0
10,1000000.0,1e-10,b_only,20002,1000000.0,spir,1.5203259163745818e-17,1,0
10,1000000.0,1e-10,b_only,20002,1000000.0,qr_ref,1.7097310207737887e-16,1,0
10,1000000.0,1e-10,b_only,30003,1000000.0,iter_sketch_mom,5.943803503792308e-15,0,
10,1000000.0,1e-10,b_only,30003,1000000.0,sketch_pre_cold,4.690117383821366e-10,0,
10,1000000.0,1e-10,b_only,30003,1000000.0,sketch_pre_warm,3.062716961854606e-17,1,1
10,1000000.0,1e-10,b_only,30003,1000000.0,spir,1.6346090468442133e-17,1,1
10,1000000.0,1e-10,b_only,30003,1000000.0,qr_ref,1.8352654033805836e-16,1,0
10,1000000.0,1e-10,b_only,40004,1000000.0,iter_sketch_mom,8.889406749226552e-14,0,
10,1000000.0,1e-10,b_only,40004,1000000.0,sketch_pre_cold,7.595095348567236e-10,0,
10,1000000.0,1e-10,b_only,40004,1000000.0,sketch_pre_warm,2.526319496446727e-17,1,1
10,1000000.0,1e-10,b_only,40004,1000000.0,spir,1.399201474136779e-17,1,0
10,1000000.0,1e-10,b_only,40004,1000000.0,qr_ref,2.4658726926944206e-16,1,0
10,1000000.0,1e-10,a_and_b,32439,610.6357890815535,iter_sketch_mom,2.756910463419684e-15,0,
10,1000000.0,1e-10,a_and_b,32439,610.6357890815535,sketch_pre_cold,2.117800681586383e-10,0,
