dataset_id,dataset_family,noise_model,seed,m,n,m_over_n,density,condition_proxy,column_norm_ratio,numerical_rank,full_column_rank,effective_kappa,method,final_be,pass_fail,iters_to_stable
illc1033,suitesparse,b_only,10001,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,sketch_pre_cold,9.414793201623884e-10,0,
illc1033,suitesparse,b_only,10001,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,sketch_pre_warm,2.0913775322240082e-16,1,
illc1033,suitesparse,b_only,10001,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,fossils,6.272127968926954e-18,1,
illc1033,suitesparse,b_only,10001,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,spir,6.653832357140232e-18,1,13
illc1033,suitesparse,b_only,10001,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,qr_ref,1.6766478532809632e-16,1,0
illc1033,suitesparse,b_only,20002,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,sketch_solve,1.7902554608875246e-08,0,
illc1033,suitesparse,b_only,20002,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,iter_sketch_mom,1.710540882928919e-15,0,
illc1033,suitesparse,b_only,20002,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,sketch_pre_cold,5.905436689679172e-10,0,
illc1033,suitesparse,b_only,20002,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,sketch_pre_warm,1.7440373335691562e-16,1,
illc1033,suitesparse,b_only,20002,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,fossils,6.951177588863065e-18,1,
illc1033,suitesparse,b_only,20002,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,spir,6.711794390751644e-18,1,14
illc1033,suitesparse,b_only,20002,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,qr_ref,1.6766478532809632e-16,1,0
illc1033,suitesparse,b_only,30003,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,sketch_solve,1.6914180506805044e-08,0,
illc1033,suitesparse,b_only,30003,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,iter_sketch_mom,2.339542055823285e-15,0,
illc1033,suitesparse,b_only,30003,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,sketch_pre_cold,5.886114966626259e-10,0,
illc1033,suitesparse,b_only,30003,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,sketch_pre_warm,1.9807001689957768e-16,1,
illc1033,suitesparse,b_only,30003,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,fossils,6.196136778975371e-18,1,
illc1033,suitesparse,b_only,30003,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,spir,6.3189453723607275e-18,1,14
illc1033,suitesparse,b_only,30003,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,qr_ref,1.6766478532809632e-16,1,0
illc1033,suitesparse,b_only,40004,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,sketch_solve,1.7155797126829287e-08,0,
illc1033,suitesparse,b_only,40004,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,iter_sketch_mom,4.746796366799746e-15,0,
illc1033,suitesparse,b_only,40004,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,sketch_pre_cold,9.130535682824416e-10,0,
illc1033,suitesparse,b_only,40004,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,sketch_pre_warm,1.4483239369431506e-16,1,
illc1033,suitesparse,b_only,40004,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,fossils,7.16222246487943e-18,1,
illc1033,suitesparse,b_only,40004,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,spir,7.168082645063954e-18,1,14
illc1033,suitesparse,b_only,40004,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,qr_ref,1.6766478532809632e-16,1,0
illc1033,suitesparse,a_and_b,32439,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,294.0445046459706,sketch_solve,0.00017999496799113665,0,
